Zipcode,Listing_per_Zip_Code,ZipCode_Total_sqft_living,ZipCode_Total_sqft_lot,ZipCode_Total_sqft_above,ZipCode_Total_sqft_basement,ZipCode_Total_sqft_living15,ZipCode_Total_sqft_lot15,Zipcode_Median_housePrice
98001,290,555904.0,4301252.0,499112.0,56792.0,532056.0,3247273.0,260000.0
98002,159,254692.0,1194499.0,239436.0,15256.0,233419.0,1237818.0,233500.0
98003,225,431891.0,2381550.0,375453.0,56438.0,418521.0,2200071.0,263500.0
98004,240,696655.0,3152604.0,577075.0,119580.0,645060.0,3082218.0,1100000.0
98005,141,381133.0,2861154.0,310013.0,71120.0,366361.0,2629151.0,780000.0
98006,393,1127978.0,5283679.0,898898.0,229080.0,1088985.0,4783976.0,753000.0
98007,114,248420.0,1183163.0,214280.0,34140.0,242080.0,1074648.0,558000.0
98008,219,468105.0,2245960.0,380264.0,87841.0,443880.0,2086759.0,546800.0
98010,80,175375.0,4874654.0,162450.0,12925.0,161556.0,4147784.0,369500.0
98011,158,367724.0,1869107.0,318999.0,48725.0,362125.0,1522422.0,475000.0
98014,109,223929.0,10180563.0,210539.0,13390.0,204798.0,7755516.0,415000.0
98019,163,349226.0,6411679.0,326496.0,22730.0,341347.0,5962184.0,400000.0
98022,176,322624.0,8769763.0,306274.0,16350.0,316478.0,6370354.0,278000.0
98023,400,788451.0,4017061.0,678954.0,109497.0,777770.0,3756468.0,268000.0
98024,62,150505.0,7146798.0,141390.0,9115.0,137006.0,5151115.0,478000.0
98027,341,885204.0,10792204.0,743839.0,141365.0,824209.0,10038081.0,580500.0
98028,226,479310.0,2804244.0,398360.0,80950.0,468660.0,2330878.0,439500.0
98029,269,617360.0,2293889.0,587230.0,30130.0,597200.0,1967948.0,571500.0
98030,211,419751.0,2405637.0,383371.0,36380.0,407250.0,1830037.0,283200.0
98031,209,405742.0,2659765.0,352512.0,53230.0,399388.0,1791737.0,286800.0
98032,97,172220.0,1046042.0,139324.0,32896.0,162149.0,925675.0,250000.0
98033,345,803234.0,3557307.0,697128.0,106106.0,753853.0,3344084.0,665000.0
98034,429,832856.0,4229349.0,700026.0,132830.0,805040.0,3582085.0,441000.0
98038,465,1014872.0,12673424.0,970192.0,44680.0,997142.0,9926472.0,350000.0
98039,41,150305.0,694545.0,129335.0,20970.0,128070.0,688075.0,1880000.0
98040,233,732081.0,3222511.0,585381.0,146700.0,677916.0,2975884.0,1025000.0
98042,440,879703.0,8046348.0,819733.0,59970.0,861952.0,6337151.0,296750.0
98045,169,344225.0,9009774.0,323465.0,20760.0,319810.0,5603877.0,390000.0
98052,457,1080040.0,4944606.0,960830.0,119210.0,1069151.0,4462026.0,615000.0
98053,331,881295.0,12072384.0,854115.0,27180.0,823960.0,9853736.0,635000.0
98055,205,372813.0,2092559.0,330571.0,42242.0,371450.0,1550845.0,294900.0
98056,336,684831.0,3295286.0,604786.0,80045.0,647075.0,2633409.0,380000.0
98058,359,731480.0,7138348.0,646550.0,84930.0,706914.0,4910064.0,330000.0
98059,381,914050.0,5233319.0,860700.0,53350.0,893733.0,4560171.0,435000.0
98065,254,644290.0,3757409.0,619120.0,25170.0,635075.0,2655733.0,502500.0
98070,96,177487.0,9540461.0,156516.0,20971.0,166424.0,7252463.0,445000.0
98072,213,494747.0,6300791.0,436641.0,58106.0,494450.0,5101862.0,500000.0
98074,337,898590.0,4968293.0,822910.0,75680.0,870631.0,4357119.0,651100.0
98075,286,860973.0,5691030.0,806253.0,54720.0,848311.0,4333424.0,737499.5
98077,153,433105.0,8255335.0,405485.0,27620.0,422680.0,7036861.0,649950.0
98092,276,606949.0,8297862.0,570039.0,36910.0,588040.0,7547689.0,309840.0
98102,83,179759.0,283565.0,147654.0,32105.0,160185.0,265258.0,690000.0
98103,488,812001.0,1701964.0,691833.0,120168.0,745066.0,1695494.0,561000.0
98105,183,394298.0,913749.0,310708.0,83590.0,369374.0,891776.0,685000.0
98106,277,418059.0,1567510.0,331669.0,86390.0,377165.0,1428010.0,320000.0
98107,200,317470.0,634924.0,265840.0,51630.0,304030.0,691395.0,529950.0
98108,150,259500.0,769918.0,200000.0,59500.0,236760.0,750666.0,342500.0
98109,88,171761.0,311063.0,138611.0,33150.0,167560.0,313099.0,710100.0
98112,214,546187.0,1072848.0,437152.0,109035.0,486911.0,1053676.0,930000.0
98115,451,820614.0,2459826.0,634442.0,186172.0,758276.0,2375483.0,570000.0
98116,259,479285.0,1269238.0,368735.0,110550.0,433909.0,1252753.0,567500.0
98117,437,738908.0,2032784.0,575618.0,163290.0,671910.0,2027826.0,540000.0
98118,396,664717.0,2290117.0,526365.0,138352.0,640620.0,2195344.0,365500.0
98119,146,300743.0,547772.0,237763.0,62980.0,276270.0,551075.0,765000.0
98122,238,438174.0,833319.0,363704.0,74470.0,412258.0,846455.0,575000.0
98125,318,557454.0,2460084.0,449769.0,107685.0,528583.0,2352509.0,425000.0
98126,280,435313.0,1436623.0,350753.0,84560.0,397144.0,1410090.0,396587.5
98133,378,614698.0,2679214.0,519084.0,95614.0,587301.0,2541702.0,375000.0
98136,208,363914.0,1218493.0,282383.0,81531.0,351500.0,1190194.0,510000.0
98144,265,508002.0,1082244.0,394454.0,113548.0,468181.0,1040776.0,457500.0
98146,230,377158.0,2044860.0,319028.0,58130.0,354638.0,1891172.0,310500.0
98148,47,77260.0,419670.0,70700.0,6560.0,75500.0,412580.0,270000.0
98155,338,612330.0,3504446.0,507070.0,105260.0,582792.0,3296423.0,381000.0
98166,198,408658.0,2706192.0,334790.0,73868.0,370951.0,2483539.0,390000.0
98168,207,304400.0,2342639.0,258740.0,45660.0,306942.0,2003721.0,235000.0
98177,202,477750.0,2427955.0,372906.0,104844.0,445550.0,2402389.0,566000.0
98178,201,345250.0,1710183.0,265100.0,80150.0,330030.0,1613739.0,275000.0
98188,105,193197.0,1085619.0,162373.0,30824.0,170444.0,1031416.0,265000.0
98198,225,392864.0,2407880.0,334774.0,58090.0,383807.0,2154318.0,265000.0
98199,250,541009.0,1349649.0,397159.0,143850.0,496058.0,1307850.0,693000.0
